swimmer,grade,gender,event,time,team,opponent,meet_date
Amy Chen,11,F,Girls 50 Yard Freestyle,26.50,Trinity Christian,Seton,2024-11-23
Amy Chen,11,F,Girls 100 Yard Freestyle,57.89,Trinity Christian,Seton,2024-11-23
Grace Kim,10,F,Girls 100 Yard Backstroke,63.45,Trinity Christian,Seton,2024-11-23
Grace Kim,10,F,Girls 50 Yard Freestyle,28.12,Trinity Christian,Seton,2024-11-23
Hannah Park,12,F,Girls 100 Yard Breaststroke,74.23,Trinity Christian,Seton,2024-11-23
Hannah Park,12,F,Girls 200 Yard IM,141.56,Trinity Christian,Seton,2024-11-23
Lily Nguyen,9,F,Girls 100 Yard Butterfly,67.89,Trinity Christian,Seton,2024-11-23
Lily Nguyen,9,F,Girls 50 Yard Freestyle,29.45,Trinity Christian,Seton,2024-11-23
Chloe Wang,11,F,Girls 200 Yard Freestyle,124.67,Trinity Christian,Seton,2024-11-23
Chloe Wang,11,F,Girls 500 Yard Freestyle,347.23,Trinity Christian,Seton,2024-11-23
Zoe Liu,10,F,Girls 100 Yard Backstroke,64.89,Trinity Christian,Seton,2024-11-23
Zoe Liu,10,F,Girls 100 Yard Freestyle,60.23,Trinity Christian,Seton,2024-11-23
Natalie Tran,12,F,Girls 100 Yard Breaststroke,75.67,Trinity Christian,Seton,2024-11-23
Natalie Tran,12,F,Girls 50 Yard Freestyle,27.34,Trinity Christian,Seton,2024-11-23
Victoria Lee,9,F,Girls 100 Yard Butterfly,69.12,Trinity Christian,Seton,2024-11-23
Victoria Lee,9,F,Girls 200 Yard IM,146.78,Trinity Christian,Seton,2024-11-23
Madison Patel,11,F,Girls 100 Yard Freestyle,61.89,Trinity Christian,Seton,2024-11-23
Madison Patel,11,F,Girls 200 Yard Freestyle,130.45,Trinity Christian,Seton,2024-11-23
Addison Shah,10,F,Girls 100 Yard Backstroke,66.34,Trinity Christian,Seton,2024-11-23
Addison Shah,10,F,Girls 50 Yard Freestyle,29.78,Trinity Christian,Seton,2024-11-23
Brooklyn Singh,12,F,Girls 100 Yard Breaststroke,76.23,Trinity Christian,Seton,2024-11-23
Brooklyn Singh,12,F,Girls 100 Yard Butterfly,68.90,Trinity Christian,Seton,2024-11-23
Avery Kumar,9,F,Girls 50 Yard Freestyle,30.45,Trinity Christian,Seton,2024-11-23
Avery Kumar,9,F,Girls 100 Yard Freestyle,64.12,Trinity Christian,Seton,2024-11-23
Scarlett Gupta,8,F,Girls 100 Yard Backstroke,68.56,Trinity Christian,Seton,2024-11-23
Scarlett Gupta,8,F,Girls 200 Yard IM,149.23,Trinity Christian,Seton,2024-11-23
Aria Sharma,8,F,Girls 100 Yard Breaststroke,78.90,Trinity Christian,Seton,2024-11-23
Aria Sharma,8,F,Girls 50 Yard Freestyle,31.23,Trinity Christian,Seton,2024-11-23
Penelope Reddy,8,F,Girls 100 Yard Butterfly,71.45,Trinity Christian,Seton,2024-11-23
Penelope Reddy,8,F,Girls 100 Yard Freestyle,65.78,Trinity Christian,Seton,2024-11-23
Layla Desai,7,F,Girls 50 Yard Freestyle,33.12,Trinity Christian,Seton,2024-11-23
Layla Desai,7,F,Girls 100 Yard Freestyle,71.89,Trinity Christian,Seton,2024-11-23
Riley Mehta,7,F,Girls 100 Yard Backstroke,76.34,Trinity Christian,Seton,2024-11-23
Riley Mehta,7,F,Girls 100 Yard Breaststroke,86.12,Trinity Christian,Seton,2024-11-23
Zoey Kapoor,6,F,Girls 50 Yard Freestyle,36.45,Trinity Christian,Seton,2024-11-23
Zoey Kapoor,6,F,Girls 100 Yard Freestyle,77.23,Trinity Christian,Seton,2024-11-23
